Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
96,Thongkhosiem Haokip,in IND,FW,East Bengal,29,1993,15,694,46,38.6,7.7,8,77,4,7,12,5,1,10,16,-6,-0.78,0.04,Matches
97,Peter Hartley,eng ENG,DF,Jamshedpur,34,1988,8,708,89,39.3,7.9,8,89,6,0,,0,0.38,5,14,-9,-1.14,-0.98,Matches
98,HernÃ¡n,es ESP,"DF,MF",Goa,31,1990,4,109,27,6.1,1.2,0,,0,4,27,0,0.25,1,4,-3,-2.48,-2.69,Matches
99,Javi HernÃ¡ndez,es ESP,MF,Bengaluru,33,1989,18,1444,80,80.2,16,16,88,10,2,22,1,1.77,21,19,2,0.12,-0.38,Matches
100,Borja Herrera,es ESP,MF,Hyderabad FC,29,1993,20,1142,57,63.4,12.7,12,78,5,8,26,0,2,25,14,11,0.87,-0.36,Matches
101,Lalrinliana Hnamte,in IND,DF,Mohun Bagan,19,2003,9,97,11,5.4,1.1,0,,0,9,11,11,2,5,1,4,3.71,3.55,Matches
102,Sylvester Igboun,ng NGA,"FW,MF",NorthEast Utd,31,1990,1,20,20,1.1,0.2,0,,0,1,20,0,0,1,1,0,0,1.77,Matches
103,Mohammed Irshad,in IND,"MF,DF",NorthEast Utd,27,1994,11,578,53,32.1,6.4,6,63,1,5,40,6,0,6,16,-10,-1.56,0.28,Matches
104,Ahmed Jahouh,ma MAR,MF,Mumbai City,34,1988,19,1327,70,73.7,14.7,18,72,5,1,34,0,2.19,43,16,27,1.83,0.69,Matches
105,Michael Jakobsen,dk DEN,DF,NorthEast Utd,36,1986,10,849,85,47.2,9.4,10,85,7,0,,0,0,5,25,-20,-2.12,-0.7,Matches
106,Himanshu Jangra,in IND,MF,East Bengal,18,2004,6,151,25,8.4,1.7,1,40,0,5,22,1,1.17,2,3,-1,-0.6,0.22,Matches
107,Jake Jervis,eng ENG,FW,East Bengal,30,1991,5,435,87,24.2,4.8,5,87,4,0,,0,1.4,4,7,-3,-0.62,0.24,Matches
108,Ashish Jha,in IND,FW,Bengaluru,23,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
109,Sandesh Jhingan,in IND,DF,Bengaluru,29,1993,18,1620,90,90,18,18,90,18,0,,2,1.64,22,21,1,0.06,-1.44,Matches
110,Ricky John Shabong,in IND,MF,Mohun Bagan,19,2002,1,3,3,0.2,0,0,,0,1,3,15,0,0,0,0,0,-0.35,Matches
111,Lalbiakhlua Jongte,in IND,GK,Hyderabad FC,20,2002,1,90,90,5,1,1,90,1,0,,12,0,2,3,-1,-1,-2.11,Matches
112,Wilmar JordÃ¡n,co COL,"FW,MF",NorthEast Utd,31,1990,11,736,67,40.9,8.2,9,77,6,2,22,0,0.36,10,26,-16,-1.96,-0.35,Matches
113,Aleksandar JovanoviÄ‡,au AUS,DF,Bengaluru,32,1989,13,1078,83,59.9,12,13,83,7,0,,3,1.59,12,13,-1,-0.08,-0.71,Matches
114,Jobby Justin,in IND,FW,Chennaiyin,28,1993,5,58,12,3.2,0.6,0,,0,5,12,5,0.6,3,4,-1,-1.55,-1.55,Matches
115,Abdul Rabeeh A K,in IND,MF,Hyderabad FC,21,2001,16,312,20,17.3,3.5,1,90,1,15,15,4,1.94,10,6,4,1.15,0.19,Matches
116,Vishal Kaith,in IND,GK,Mohun Bagan,26,1996,20,1800,90,100,20,20,90,20,0,,0,1.67,24,17,7,0.35,,Matches
117,Ivan Kaliuzhnyi,ua UKR,MF,Kerala Blasters,24,1998,18,1246,69,69.2,13.8,15,80,6,3,17,1,1.56,19,20,-1,-0.07,-0.23,Matches
118,Rahul Kannoly Praveen,in IND,MF,Kerala Blasters,22,2000,18,1288,72,71.6,14.3,15,81,6,3,26,0,1.63,24,19,5,0.35,1.23,Matches
119,Kwame Karikari,gh GHA,FW,Chennaiyin,30,1992,16,540,34,30,6,3,87,2,13,21,1,1.31,14,11,3,0.5,0.79,Matches
120,Prasanth Karuthadathkuni,in IND,"MF,FW",Chennaiyin,25,1997,15,853,57,47.4,9.5,12,66,1,3,21,2,1.13,15,21,-6,-0.63,-1.11,Matches
121,Laxmikant Kattimani,in IND,GK,Hyderabad FC,33,1989,6,487,81,27.1,5.4,6,81,5,0,,0,2.67,9,3,6,1.11,0.15,Matches
122,Joni Kauko,fi FIN,MF,Mohun Bagan,32,1990,6,498,83,27.7,5.5,6,83,4,0,,0,1.67,12,8,4,0.72,0.52,Matches
123,Harmanjot Khabra,in IND,DF,Kerala Blasters,33,1988,7,540,77,30,6,7,77,3,0,,12,0.86,7,12,-5,-0.83,-1.19,Matches
124,Imran Khan,in IND,"MF,FW",NorthEast Utd,27,1994,14,478,34,26.6,5.3,4,78,0,10,17,3,0.07,5,14,-9,-1.69,0.08,Matches
125,Abdenasser El Khayati,nl NED,"MF,FW",Chennaiyin,33,1989,12,577,48,32.1,6.4,6,78,3,6,18,1,1.42,17,17,0,0,0.07,Matches
126,Pritam Kotal,in IND,DF,Mohun Bagan,28,1993,20,1799,90,99.9,20,20,90,19,0,,0,1.67,24,17,7,0.35,0.35,Matches
127,Roy Krishna,fj FIJ,FW,Bengaluru,34,1987,18,1564,87,86.9,17.4,18,87,12,0,,0,1.77,22,20,2,0.12,-0.65,Matches
128,Ajith Kumar,in IND,DF,Chennaiyin,25,1996,15,1228,82,68.2,13.6,15,82,7,0,,1,1.13,15,21,-6,-0.44,-1.23,Matches
129,Anuj Kumar,in IND,GK,Hyderabad FC,24,1998,2,143,72,7.9,1.6,1,90,1,1,53,8,1.5,1,1,0,0,-1.09,Matches
130,Gurjinder Kumar,in IND,DF,NorthEast Utd,31,1990,11,905,82,50.3,10.1,10,84,8,1,64,5,0,5,27,-22,-2.19,-0.88,Matches
131,Nanda Kumar,in IND,"FW,MF",Odisha,26,1995,19,1564,82,86.9,17.4,19,82,10,0,,0,1.45,25,26,-1,-0.06,0.32,Matches
132,Naveen Kumar,in IND,GK,East Bengal,33,1989,0,,,,,0,,0,0,,3,,,,,,,Matches
133,Niraj Kumar,in IND,GK,Odisha,19,2002,0,,,,,0,,0,0,,9,,,,,,,Matches
134,Nishu Kumar,in IND,DF,Kerala Blasters,24,1997,16,1005,63,55.8,11.2,10,84,5,6,27,4,1.47,17,14,3,0.27,0.61,Matches
135,Pawan Kumar,in IND,GK,East Bengal,32,1990,0,,,,,0,,0,0,,7,,,,,,,Matches
136,Rohit Kumar,in IND,MF,Bengaluru,25,1997,15,805,54,44.7,8.9,8,84,5,7,19,3,2,17,9,8,0.89,1.26,Matches
137,Ashique Kuruniyan,in IND,"MF,FW",Mohun Bagan,25,1997,16,1071,67,59.5,11.9,12,83,7,4,19,0,2,16,9,7,0.59,0.59,Matches
138,Charalambos Kyriakou,cy CYP,"DF,MF",East Bengal,32,1989,18,1308,73,72.7,14.5,15,83,11,3,21,0,0.72,14,24,-10,-0.69,0.41,Matches
139,Phurba Lachenpa,in IND,GK,Mumbai City,24,1998,20,1800,90,100,20,20,90,20,0,,0,2.14,54,21,33,1.65,,Matches
140,Emanuel Lalchhanchhuaha,in IND,MF,NorthEast Utd,20,2002,9,366,41,20.3,4.1,4,73,1,5,15,6,0,3,8,-5,-1.23,0.65,Matches
141,R Laldanmawia,in IND,MF,NorthEast Utd,29,1992,6,94,16,5.2,1,0,,0,6,16,4,0.67,3,3,0,0,1.85,Matches
142,Lalengmawia,in IND,MF,Mumbai City,21,2000,16,1151,72,63.9,12.8,16,72,4,0,,1,2.18,38,17,21,1.64,-0.02,Matches
143,Ricky Lallawmawma,in IND,"DF,MF",Jamshedpur,30,1991,20,1795,90,99.7,19.9,20,90,19,0,,0,0.95,21,32,-11,-0.55,-0.55,Matches
144,Jerry Lalrinzuala,in IND,DF,East Bengal,24,1998,19,1498,79,83.2,16.6,16,88,14,3,29,0,1,18,32,-14,-0.84,-0.25,Matches
145,Lalruatthara,in IND,DF,Odisha,27,1995,4,151,38,8.4,1.7,1,53,0,3,33,13,1.25,3,1,2,1.19,1.41,Matches
146,K Lalthathanga,in IND,MF,Kerala Blasters,24,1998,6,362,60,20.1,4,4,84,0,2,13,2,1.5,5,8,-3,-0.75,-0.93,Matches
147,K Lalthathanga,in IND,MF,Mohun Bagan,24,1998,6,207,35,11.5,2.3,3,54,0,3,15,2,1.75,2,1,1,0.43,0.1,Matches
148,Lara,in IND,GK,Bengaluru,22,1999,0,,,,,0,,0,0,,12,,,,,,,Matches
149,Marko LeÅ¡koviÄ‡,hr CRO,DF,Kerala Blasters,31,1991,14,1177,84,65.4,13.1,13,90,13,1,7,0,1.67,22,16,6,0.46,1.33,Matches
