Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,PK,PKatt,nPG,npxG,np:G-xG
123,Nishu Kumar,in IND,DF,Kerala Blasters,24,1997,11.2,0,9,2,22.2,0.81,0.18,0,0,0.08,0,0,0,0.85,-0.08
124,Rohit Kumar,in IND,MF,Bengaluru,25,1997,8.9,3,13,6,46.2,1.45,0.67,0.23,0.5,3.63,0,0,3,2.55,-0.63
125,Ashique Kuruniyan,in IND,"MF,FW",Mohun Bagan,25,1997,11.9,0,17,5,29.4,1.43,0.42,0,0,0.8,0,0,0,3.4,-0.8
126,Charalambos Kyriakou,cy CYP,"DF,MF",East Bengal,32,1989,14.5,1,7,3,42.9,0.48,0.21,0.14,0.33,2.07,0,0,1,1.7,-1.07
127,Phurba Lachenpa,in IND,GK,Mumbai City,24,1998,20,0,0,0,,0,0,,,0,0,0,0,0,0
128,Emanuel Lalchhanchhuaha,in IND,MF,NorthEast Utd,20,2002,4.1,0,2,1,50,0.49,0.25,0,0,0,0,0,0,0.85,0
129,R Laldanmawia,in IND,MF,NorthEast Utd,29,1992,1,0,2,1,50,1.91,0.96,0,0,0.98,0,0,0,0.85,-0.98
130,Lalengmawia,in IND,MF,Mumbai City,21,2000,12.8,3,17,5,29.4,1.33,0.39,0.18,0.6,0.97,0,0,3,1.7,2.03
131,Ricky Lallawmawma,in IND,"DF,MF",Jamshedpur,30,1991,19.9,0,2,0,0,0.1,0,0,,0,0,0,0,0,0
132,Jerry Lalrinzuala,in IND,DF,East Bengal,24,1998,16.6,0,4,1,25,0.24,0.06,0,0,0.58,0,0,0,0.85,-0.58
133,Lalruatthara,in IND,DF,Odisha,27,1995,1.7,0,0,0,,0,0,,,0,0,0,0,0,0
134,K Lalthathanga,in IND,MF,Kerala Blasters,24,1998,4,0,7,2,28.6,1.74,0.5,0,0,1.72,0,0,0,0.85,-1.72
135,K Lalthathanga,in IND,MF,Mohun Bagan,24,1998,2.3,0,0,0,,0,0,,,0,0,0,0,0,0
136,Marko Lešković,hr CRO,DF,Kerala Blasters,31,1991,13.1,1,7,1,14.3,0.54,0.08,0.14,1,0.65,0,0,1,0.85,0.35
137,Adrián Luna,uy URU,"MF,FW",Kerala Blasters,30,1992,18.9,4,42,12,28.6,2.22,0.63,0.1,0.33,1.32,0,0,4,5.1,2.68
138,Debjit Majumder,in IND,GK,Chennaiyin,34,1988,8.9,0,0,0,,0,0,,,0,0,0,0,0,0
139,Osama Malik,au AUS,DF,Odisha,31,1990,12.2,0,9,2,22.2,0.74,0.16,0,0,1.91,0,0,0,0.85,-1.91
140,Saurav Mandal,in IND,MF,Kerala Blasters,21,2000,2.8,0,3,0,0,1.07,0,0,,0,0,0,0,0,0
141,Pedro Martín,es ESP,"FW,MF",Odisha,30,1992,9.1,3,17,7,41.2,1.86,0.77,0.18,0.43,0.48,0,0,3,3.4,2.52
142,Glan Martins,in IND,MF,Goa,28,1994,5.2,0,8,1,12.5,1.53,0.19,0,0,0,0,0,0,0.85,0
143,Glan Martins,in IND,MF,Mohun Bagan,28,1994,5.2,0,5,2,40,0.95,0.38,0,0,0.12,0,0,0,0.85,-0.12
144,Diego Maurício,br BRA,FW,Odisha,31,1991,16,12,51,23,45.1,3.18,1.44,0.18,0.39,17.82,3,3,9,14.6,-8.82
145,Jerry Mawihmingthanga,in IND,"FW,MF",Odisha,25,1997,14.5,3,24,9,37.5,1.66,0.62,0.13,0.33,1.38,0,0,3,3.4,1.62
146,Kule Mbombo,cd COD,"FW,MF",NorthEast Utd,26,1996,4.9,0,7,0,0,1.42,0,0,,0,0,0,0,0,0
147,Carl McHugh,ie IRL,MF,Mohun Bagan,29,1993,12.2,3,12,5,41.7,0.98,0.41,0.25,0.6,0.25,0,0,3,3.4,2.75
148,Ninthoinganba Meetei,in IND,MF,Chennaiyin,21,2001,5.7,0,9,1,11.1,1.57,0.17,0,0,0,0,0,0,0.85,0
149,Denechandra Meitei,in IND,DF,Odisha,28,1994,5.6,0,0,0,,0,0,,,0,0,0,0,0,0
150,Mirshad Michu,in IND,GK,NorthEast Utd,28,1994,10,0,0,0,,0,0,,,0,0,0,0,0,0
151,Bryce Miranda,in IND,MF,Kerala Blasters,22,1999,3.9,0,2,0,0,0.51,0,0,,0,0,0,0,0,0
152,Akash Mishra,in IND,DF,Hyderabad FC,20,2001,17,0,10,2,20,0.59,0.12,0,0,0,0,0,0,0.85,0
153,Samik Mitra,in IND,GK,Chennaiyin,21,2000,10,0,0,0,,0,0,,,0,0,0,0,0,0
154,Yasir Mohammad,in IND,MF,Hyderabad FC,22,1999,16.7,3,25,6,24,1.5,0.36,0.12,0.5,2.71,0,0,3,3.4,0.29
155,Manoj Mohammed,in IND,DF,Hyderabad FC,23,1999,3,0,2,0,0,0.67,0,0,,0,0,0,0,0,0
156,Vibin Mohanan,in IND,MF,Kerala Blasters,19,2003,1.1,0,1,0,0,0.88,0,0,,0,0,0,0,0,0
157,Fardin Molla,in IND,FW,Mohun Bagan,20,2002,1.3,0,3,1,33.3,2.39,0.8,0,0,0,0,0,0,0.85,0
158,Hira Mondal,in IND,DF,NorthEast Utd,25,1996,4.3,0,5,0,0,1.15,0,0,,0,0,0,0,0,0
