Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
143,Glan Martins,in IND,MF,Mohun Bagan,28,1994,6,6,472,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Diego MaurÃ­cio,br BRA,FW,Odisha,31,1991,20,17,1442,16,12,4,16,9,3,3,2,0,0.75,0.25,1,0.56,0.81
145,Jerry Mawihmingthanga,in IND,"FW,MF",Odisha,25,1997,19,13,1301,14.5,3,2,5,3,0,0,1,0,0.21,0.14,0.35,0.21,0.35
146,Kule Mbombo,cd COD,"FW,MF",NorthEast Utd,26,1996,6,6,445,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Carl McHugh,ie IRL,MF,Mohun Bagan,29,1993,17,12,1101,12.2,3,0,3,3,0,0,3,0,0.25,0,0.25,0.25,0.25
148,Ninthoinganba Meetei,in IND,MF,Chennaiyin,21,2001,12,5,516,5.7,0,1,1,0,0,0,0,0,0,0.17,0.17,0,0.17
149,Denechandra Meitei,in IND,DF,Odisha,28,1994,13,4,507,5.6,0,1,1,0,0,0,1,0,0,0.18,0.18,0,0.18
150,Mirshad Michu,in IND,GK,NorthEast Utd,28,1994,10,10,900,10,0,0,0,0,0,0,2,0,0,0,0,0,0
151,Bryce Miranda,in IND,MF,Kerala Blasters,22,1999,12,4,351,3.9,0,2,2,0,0,0,0,0,0,0.51,0.51,0,0.51
152,Akash Mishra,in IND,DF,Hyderabad FC,20,2001,17,17,1530,17,0,0,0,0,0,0,4,0,0,0,0,0,0
153,Samik Mitra,in IND,GK,Chennaiyin,21,2000,10,10,900,10,0,0,0,0,0,0,3,0,0,0,0,0,0
154,Yasir Mohammad,in IND,MF,Hyderabad FC,22,1999,18,18,1503,16.7,3,4,7,3,0,0,0,0,0.18,0.24,0.42,0.18,0.42
155,Manoj Mohammed,in IND,DF,Hyderabad FC,23,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Vibin Mohanan,in IND,MF,Kerala Blasters,19,2003,3,1,102,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0
157,Fardin Molla,in IND,FW,Mohun Bagan,20,2002,10,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Hira Mondal,in IND,DF,NorthEast Utd,25,1996,6,5,390,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0
159,VÃ­ctor Mongil,es ESP,DF,Kerala Blasters,30,1992,18,8,758,8.4,0,0,0,0,0,0,1,0,0,0,0,0,0
160,Jithin MS,in IND,"FW,MF",NorthEast Utd,24,1998,16,12,1034,11.5,1,0,1,1,0,0,0,0,0.09,0,0.09,0.09,0.09
161,Ankit Mukherjee,in IND,DF,East Bengal,26,1996,10,9,682,7.6,0,0,0,0,0,0,2,0,0,0,0,0,0
162,Devendra Murgaokar,in IND,MF,Goa,23,1998,12,4,372,4.1,0,1,1,0,0,0,0,0,0,0.24,0.24,0,0.24
163,Halicharan Narzary,in IND,MF,Hyderabad FC,27,1994,17,15,1248,13.9,3,6,9,3,0,0,0,0,0.22,0.43,0.65,0.22,0.65
164,Kiyan Nassiri,in IND,MF,Mohun Bagan,21,2000,14,1,286,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0
165,Gyamar Nikum,in IND,MF,Mumbai City,17,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Alberto Noguera,es ESP,MF,Mumbai City,32,1989,19,6,896,10,4,1,5,4,0,0,1,0,0.4,0.1,0.5,0.4,0.5
167,Rupert Nongrum,in IND,MF,NorthEast Utd,25,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Halen Nongtdu,in IND,DF,Mumbai City,18,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Jordan O'Doherty,au AUS,MF,East Bengal,24,1997,18,13,1105,12.3,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08
170,Bartholomew Ogbeche,ng NGA,"MF,FW",Hyderabad FC,37,1984,19,17,1453,16.1,10,2,12,9,1,2,0,0,0.62,0.12,0.74,0.56,0.68
171,Odei Onaindia,es ESP,DF,Hyderabad FC,32,1989,19,19,1710,19,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11
172,Ishan Pandita,in IND,FW,Jamshedpur,24,1998,17,6,634,7,2,0,2,2,0,0,0,0,0.28,0,0.28,0.28,0.28
173,Sahil Panwar,in IND,DF,Odisha,22,1999,17,16,1323,14.7,0,1,1,0,0,0,3,1,0,0.07,0.07,0,0.07
174,Sumeet Passi,in IND,"MF,FW",East Bengal,27,1994,11,4,426,4.7,0,1,1,0,0,0,4,0,0,0.21,0.21,0,0.21
175,Laldinpuia PC,in IND,"MF,DF",Jamshedpur,25,1996,8,4,300,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Sanson Pereira,in IND,DF,Goa,24,1997,12,6,678,7.5,0,1,1,0,0,0,1,0,0,0.13,0.13,0,0.13
177,Jorge Pereyra DÃ­az,ar ARG,FW,Mumbai City,31,1990,18,16,1289,14.3,11,6,17,10,1,2,6,0,0.77,0.42,1.19,0.7,1.12
178,Pablo PÃ©rez,es ESP,MF,Bengaluru,28,1993,11,1,226,2.5,2,0,2,2,0,0,1,0,0.8,0,0.8,0.8,0.8
179,Dimitri Petratos,au AUS,FW,Mohun Bagan,29,1992,19,19,1668,18.5,9,7,16,9,0,0,1,0,0.49,0.38,0.86,0.49,0.86
180,Romain Philippoteaux,fr FRA,"MF,FW",NorthEast Utd,34,1988,18,16,1332,14.8,2,2,4,2,0,0,1,0,0.14,0.14,0.27,0.14,0.27
181,Florentin Pogba,gn GUI,DF,Mohun Bagan,31,1990,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Nikhil Poojari,in IND,DF,Hyderabad FC,26,1995,19,19,1631,18.1,0,1,1,0,0,0,2,0,0,0.06,0.06,0,0.06
183,Nikhil Prabhu,in IND,DF,Odisha,21,2000,3,0,93,1,0,0,0,0,0,0,1,0,0,0,0,0,0
184,Nikhil Prabhu,in IND,DF,Goa,21,2000,2,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Wellington Priori,br BRA,"MF,FW",Jamshedpur,32,1990,6,5,356,4,0,0,0,0,0,0,1,0,0,0,0,0,0
